abstract_id,category,abstract,sentence_id
24309370,results,"@ patients were enrolled between Sept @ , @ , and Oct @ , @ .",10
24557009,methods,Primary outcome was disease status .,3
24311553,objective,"To evaluate the efficacy of interpersonal counselling compared with selective serotonin reuptake inhibitors ( SSRIs ) , in primary care attenders with major depression and to identify moderators of treatment outcome .",1
26184850,conclusions,"The CEAwatch protocol detects recurrent disease after colorectal cancer earlier , in a phase that a significantly higher proportion of recurrences can be treated with curative intent .",9
24432669,methods,"After treatment , the clinical efficacy was evaluated by using ASAS@ standard ( set by Asessment in Ankylosing Spondylitis working group ) , Chinese medical efficacy evaluation standards , and BASDAI , BASFI , BASMI , night-pain index , spinal pain index , PGA , C-reactive protein ( CRP ) , and erythrocyte sedimentation rate ( ESR ) .",3
24684838,methods,Treatment comprised a loading phase of @ consecutive monthly injections followed by a @-month maintenance phase of monthly or quarterly injections .,4
25945555,methods,"In this randomized cross-over trial , @ lifeguards performed four rescue maneuvers over a @-m distance in open water in random order : no ventilation ( NV ) , mouth-to-mouth ventilation ( MMV ) , Oxylator-aided mask ventilation ( OMV ) , and Oxylator-aided laryngeal tube ventilation ( OLTV ) .",5
25593485,conclusions,An intervention to increase physical activity has positive long-term effects on IBS symptoms and psychological symptoms .,12
25415777,background,This study was carried out to evaluate the comparative efficacy of levobupivacaine and ropivacaine for epidural block in outpatients with degenerative spinal disease and sciatica .,2
25428140,background,"Attention-Deficit/Hyperactivity Disorder ( ADHD ) in adults is one of the predictive and treatable risk factors for delinquency , including intimate partner violence ( IPV ) .",0
25350228,methods,We randomly assigned patients to two treatment groups : @ in the pectopexy and @ in the sacropexy group .,3
24315625,methods,"After a median follow-up of @ years , this report analyses @ patients with node-positive breast cancer , and randomly assigned to adjuvant anthracycline-based chemotherapy combined or not with taxanes .",1
24940942,objective,The superiority of conventional polyethylene glycol ( PEG ) solution over sodium picosulfate with magnesium citrate ( SPMC ) for bowel preparation remains controversial .,0
24754066,objective,To make a comprehensive evaluation of the efficiency of eradication therapy in patients with coronary heart disease ( CHD ) concurrent with peptic ulcer disease ( PUD ) .,0
25461690,methods,"A multicenter , randomized study assigned patients undergoing implantation of everolimus-eluting stents with confirmed nonresistance to aspirin to receive @ - or @-month DAPT .",2
25562195,methods,"After treatment , results of hemorheological indexes , nailfold microcirculation , @-keto-PGF@ and TXB@ and lipid profiles of subjects in the Yerba mate tea group were compared with those in the placebo-receiving group .",6
25516091,methods,Primary endpoint was mortality on day @ post-infection .,6
24720273,methods,"A cohort of @ nulliparous women at term ( @ weeks of gestation ) with singleton cephalic pregnancies , aiming to deliver vaginally , were recruited prior to an induction of labour or in early labour .",3
25432953,methods,"The main outcomes were overall sun protection behaviors and specific protective behaviors including use of sunscreen , shirt , hat , sunglasses , shade , and sun avoidance ; recent sunburns ; and skin self-examination and provider skin examination .",4
25002178,conclusions,Systematic use of heparin rather than bivalirudin would reduce drug costs substantially .,14
25384624,methods,One hundred and fifty-six immunocompromised IBD patients were vaccinated .,2
26442395,conclusions,This was because only one-third of the nerves could be seen .,8
25340337,methods,We analysed @ measures of maternal/infant well-being over the @ month follow-up period using longitudinal random effects regressions .,4
24589566,methods,Participants in the program-only group were given the hardware and @ games at the completion of the @-week program .,8
24297763,objective,To compare the effects of equal doses of robotic and conventional therapy in individuals with chronic stroke .,3
24641778,methods,"Both groups undergo @ psychotherapy sessions , and data are collected at baseline , mid-treatment , post-treatment , and the @-month follow-up .",6
25517477,conclusions,The long-axis approach to subclavian central venous catheterization is also associated with fewer posterior wall penetrations .,18
24865255,results,The @ - and @-year patient survival rates were similar for both arms ( p = @ ) .,8
24579432,results,"At @-y follow-up , there were @ deaths , @ minor strokes , @ tamponade and @ myocardial infarction .",6
25512817,methods,Evaluation for treatment success ( reductions in urogenital distress inventory and incontinence impact questionnaire scoring along with absent positive stress test ) was done at @ months and @ year postoperatively .,5
24272788,conclusions,This article explores the importance of the extrinsic factors that are related to the patient and the otolaryngologist in determining the level of pain associated with laryngoscopy .,6
